GEOID,year,latino
04013071514,2010,548.0
04013071515,2010,120.0
04013071516,2010,236.0
04013071517,2010,586.0
04013071600,2010,1403.0
04013071701,2010,927.0
04013071702,2010,30.0
04013071801,2010,142.0
04013071802,2010,102.0
04013071903,2010,2509.0
04013071906,2010,2151.0
04013071909,2010,596.0
04013071910,2010,2080.0
04013071911,2010,1306.0
04013071912,2010,1032.0
04013071913,2010,1311.0
04013071914,2010,1718.0
04013071915,2010,1834.0
04013082002,2010,2712.0
04013082007,2010,3088.0
04013082008,2010,3524.0
04013082009,2010,3754.0
04013082010,2010,3178.0
04013082012,2010,2827.0
04013082016,2010,1520.0
04013082017,2010,1915.0
04013082018,2010,2932.0
04013082019,2010,612.0
04013082020,2010,1119.0
04013082021,2010,449.0
04013082022,2010,2469.0
04013082023,2010,2009.0
04013082024,2010,1916.0
04013082025,2010,1011.0
04013082026,2010,2721.0
04013082027,2010,1680.0
04013082028,2010,3484.0
04013082203,2010,3856.0
04013082204,2010,3878.0
04013082205,2010,3149.0
04013082206,2010,1803.0
04013082207,2010,859.0
04013082208,2010,2569.0
04013082209,2010,2725.0
04013082210,2010,1968.0
04013082211,2010,2013.0
04013083000,2010,5222.0
04013092305,2010,1158.0
04013092306,2010,1733.0
04013092307,2010,1790.0
04013092308,2010,1841.0
04013092309,2010,1176.0
04013092311,2010,1116.0
04013092312,2010,837.0
04013092401,2010,2154.0
04013092402,2010,1094.0
04013092500,2010,3007.0
04013092600,2010,1948.0
04013092705,2010,1833.0
04013092708,2010,662.0
04013092709,2010,1971.0
04013092710,2010,1338.0
04013092711,2010,1743.0
04013092712,2010,1963.0
04013092713,2010,2799.0
04013092715,2010,2065.0
04013092716,2010,2599.0
04013092717,2010,3072.0
04013092718,2010,2779.0
04013092719,2010,2195.0
04013092720,2010,1890.0
04013092721,2010,380.0
04013092723,2010,1163.0
04013092724,2010,872.0
04013092801,2010,3948.0
04013092802,2010,3338.0
04013092900,2010,2854.0
04013093001,2010,3437.0
04013093002,2010,2667.0
04013093101,2010,2431.0
04013093104,2010,2953.0
04013093105,2010,3152.0
04013093106,2010,2488.0
04013093200,2010,1625.0
04013103205,2010,319.0
04013103206,2010,164.0
04013103207,2010,185.0
04013103208,2010,508.0
04013103209,2010,440.0
04013103210,2010,820.0
04013103211,2010,452.0
04013103212,2010,304.0
04013103214,2010,187.0
04013103215,2010,70.0
04013103216,2010,142.0
04013103217,2010,226.0
04013103219,2010,58.0
04013103220,2010,153.0
04013103302,2010,2228.0
04013103303,2010,175.0
04013103304,2010,3582.0
04013103305,2010,2411.0
04013103306,2010,2210.0
04013103400,2010,968.0
04013103501,2010,598.0
04013103502,2010,586.0
04013103604,2010,1029.0
04013103605,2010,281.0
04013103606,2010,852.0
04013103607,2010,479.0
04013103608,2010,1314.0
04013103609,2010,1416.0
04013103611,2010,572.0
04013103612,2010,434.0
04013103614,2010,460.0
04013103615,2010,2321.0
04013103701,2010,505.0
04013103702,2010,816.0
04013103900,2010,1759.0
04013104000,2010,1756.0
04013104100,2010,1244.0
04013104202,2010,958.0
04013104203,2010,1670.0
04013104204,2010,1158.0
04013104205,2010,1902.0
04013104206,2010,1558.0
04013104207,2010,494.0
04013104212,2010,1272.0
04013104214,2010,369.0
04013104215,2010,303.0
04013104216,2010,941.0
04013104217,2010,791.0
04013104218,2010,606.0
04013104219,2010,492.0
04013104221,2010,1107.0
04013104222,2010,1196.0
04013104223,2010,453.0
04013104224,2010,778.0
04013104225,2010,383.0
04013104226,2010,828.0
04013104227,2010,778.0
04013104301,2010,760.0
04013104302,2010,1035.0
04013104401,2010,1345.0
04013104402,2010,359.0
04013104501,2010,2423.0
04013104502,2010,4001.0
04013104600,2010,1665.0
04013104701,2010,1077.0
04013104702,2010,2315.0
04013104801,2010,535.0
04013104802,2010,330.0
04013104900,2010,341.0
04013105002,2010,16.0
04013105003,2010,287.0
04013105004,2010,96.0
04013105101,2010,173.0
04013105102,2010,422.0
04013105103,2010,164.0
04013105200,2010,2158.0
04013105300,2010,907.0
04013105400,2010,510.0
04013105501,2010,1152.0
04013105502,2010,502.0
04013105503,2010,882.0
04013105601,2010,2595.0
04013105602,2010,2249.0
04013105701,2010,877.0
04013105702,2010,1751.0
04013105800,2010,2453.0
04013105900,2010,1859.0
04013106001,2010,1123.0
04013106002,2010,1020.0
04013106003,2010,1302.0
04013106100,2010,790.0
04013106200,2010,216.0
04013106300,2010,976.0
04013106400,2010,170.0
04013106501,2010,535.0
04013106502,2010,257.0
04013106600,2010,447.0
04013106701,2010,1135.0
04013106702,2010,160.0
04013106703,2010,883.0
04013106801,2010,3453.0
04013106802,2010,1213.0
04013106900,2010,3867.0
04013107000,2010,2841.0
04013107101,2010,2467.0
04013107102,2010,3587.0
04013107201,2010,3137.0
04013107202,2010,3752.0
04013107300,2010,3763.0
04013107400,2010,3117.0
04013107500,2010,584.0
04013107601,2010,759.0
04013107602,2010,610.0
04013107700,2010,215.0
04013107800,2010,171.0
04013107900,2010,163.0
04013108000,2010,149.0
04013108100,2010,70.0
04013108200,2010,377.0
04013108301,2010,241.0
04013108302,2010,497.0
04013108400,2010,842.0
04013108501,2010,989.0
04013108502,2010,586.0
04013108601,2010,1547.0
04013108602,2010,1738.0
04013108802,2010,384.0
04013108901,2010,1101.0
04013108902,2010,2113.0
04013109001,2010,2329.0
04013109002,2010,2899.0
04013109003,2010,4077.0
04013109101,2010,2555.0
04013109102,2010,5502.0
04013109200,2010,3149.0
04013109300,2010,2782.0
04013109400,2010,6531.0
04013109500,2010,3515.0
04013109601,2010,3291.0
04013109602,2010,4941.0
04013109603,2010,3817.0
04013109604,2010,2592.0
04013109701,2010,5000.0
04013109702,2010,3057.0
04013109703,2010,2443.0
04013109704,2010,2150.0
