GEOID,year,white
04013111601,2010,703.0
04013111602,2010,399.0
04013111700,2010,2886.0
04013111800,2010,2645.0
04013111900,2010,1719.0
04013112100,2010,221.0
04013112201,2010,381.0
04013112202,2010,460.0
04013112301,2010,353.0
04013112302,2010,425.0
04013112401,2010,505.0
04013112402,2010,523.0
04013112502,2010,622.0
04013112503,2010,789.0
04013112504,2010,471.0
04013112505,2010,701.0
04013112507,2010,294.0
04013112508,2010,541.0
04013112509,2010,876.0
04013112510,2010,1106.0
04013112511,2010,1516.0
04013112512,2010,358.0
04013112513,2010,1040.0
04013112514,2010,1057.0
04013112601,2010,239.0
04013112602,2010,460.0
04013112700,2010,153.0
04013112900,2010,1355.0
04013113000,2010,1218.0
04013113100,2010,1141.0
04013113201,2010,305.0
04013113202,2010,198.0
04013113203,2010,443.0
04013113300,2010,715.0
04013113400,2010,636.0
04013113501,2010,715.0
04013113502,2010,120.0
04013113601,2010,938.0
04013113602,2010,357.0
04013113700,2010,1824.0
04013113801,2010,583.0
04013113802,2010,0.0
04013113900,2010,26.0
04013114000,2010,426.0
04013114100,2010,767.0
04013114200,2010,183.0
04013114301,2010,653.0
04013114302,2010,71.0
04013114401,2010,196.0
04013114402,2010,211.0
04013114500,2010,400.0
04013114600,2010,74.0
04013114703,2010,2226.0
04013114800,2010,129.0
04013114900,2010,196.0
04013115200,2010,277.0
04013115300,2010,166.0
04013115400,2010,351.0
04013115500,2010,571.0
04013115600,2010,376.0
04013115700,2010,462.0
04013115801,2010,668.0
04013115802,2010,319.0
04013115900,2010,386.0
04013116000,2010,565.0
04013116100,2010,219.0
04013116202,2010,941.0
04013116203,2010,1937.0
04013116204,2010,789.0
04013116205,2010,1368.0
04013116300,2010,544.0
04013116400,2010,808.0
04013116500,2010,355.0
04013116602,2010,835.0
04013116603,2010,1954.0
04013116604,2010,721.0
04013116605,2010,842.0
04013116606,2010,1146.0
04013116607,2010,338.0
04013116608,2010,903.0
04013116609,2010,1383.0
04013116610,2010,1290.0
04013116611,2010,1419.0
04013116612,2010,1413.0
04013116613,2010,1449.0
04013116702,2010,1041.0
04013116703,2010,805.0
04013116704,2010,3148.0
04013116707,2010,2418.0
04013116708,2010,3993.0
04013116709,2010,1099.0
04013116710,2010,4441.0
04013116711,2010,1338.0
04013116712,2010,4727.0
04013116713,2010,4249.0
04013116714,2010,2612.0
04013116715,2010,1508.0
04013116717,2010,2014.0
04013116718,2010,1885.0
04013116719,2010,4782.0
04013116720,2010,2413.0
04013116721,2010,3215.0
04013116725,2010,4000.0
04013116727,2010,3539.0
04013116728,2010,4122.0
04013116729,2010,3894.0
04013116730,2010,1012.0
04013116731,2010,2800.0
04013116732,2010,1339.0
04013116733,2010,173.0
04013116800,2010,933.0
04013116900,2010,239.0
04013117000,2010,1908.0
04013117100,2010,1442.0
04013117200,2010,85.0
