id,year,bus
29,1997,0
29,1998,0
29,1999,0
29,2000,0
29,2001,0
29,2002,0
29,2003,0
29,2004,0
29,2005,0
29,2006,0
29,2007,0
29,2008,0
29,2009,0
29,2010,0
29,2011,0
29,2012,0
29,2013,0
29,2014,0
29,2015,0
29,2016,0
29,2017,0
30,1991,0
30,1992,0
30,1993,0
30,1994,0
30,1995,0
30,1996,0
30,1997,7078009
30,1998,7381211
30,1999,7594097
30,2000,7822073
30,2001,8001769
30,2002,7744225
30,2003,7493216
30,2004,7792571
30,2005,8052454
30,2006,8470153
30,2007,8313899
30,2008,8628110
30,2009,9146873
30,2010,9218232
30,2011,9920213
30,2012,10601325
30,2013,10188565
30,2014,9933869
30,2015,9258207
30,2016,8401294
30,2017,7512218
31,1991,0
31,1992,0
31,1993,0
31,1994,0
31,1995,0
31,1996,0
31,1997,0
31,1998,0
31,1999,0
31,2000,0
31,2001,0
31,2002,0
31,2003,0
31,2004,0
31,2005,0
31,2006,0
31,2007,54843
31,2008,41174
31,2009,26767
31,2010,179530
31,2011,170127
31,2012,214069
31,2013,235147
31,2014,238459
31,2015,248383
31,2016,238021
31,2017,203909
32,1991,49205133
32,1992,49758206
32,1993,48250070
32,1994,44911551
32,1995,43880562
32,1996,46672326
32,1997,41681995
32,1998,40776495
32,1999,45936185
32,2000,45936185
32,2001,48851745
32,2002,44807828
32,2003,57614256
32,2004,58901932
32,2005,53394331
32,2006,56486496
32,2007,53266534
32,2008,44752343
32,2009,42517272
32,2010,37693438
32,2011,36971366
32,2012,38378872
32,2013,37937209
32,2014,37383043
32,2015,36366269
32,2016,33521239
32,2017,31951162
33,1991,5590385
33,1992,4316319
33,1993,4679053
33,1994,5574966
33,1995,5576686
33,1996,5662103
33,1997,5802943
33,1998,4818953
33,1999,5330103
33,2000,5663808
33,2001,6969718
33,2002,6305923
33,2003,6303316
33,2004,6383680
33,2005,6966129
33,2006,6308471
33,2007,6236285
33,2008,6349996
33,2009,6364765
33,2010,6546871
33,2011,6637681
33,2012,7439290
33,2013,7533651
33,2014,7602515
33,2015,7468076
33,2016,6927731
33,2017,6534222
34,1991,0
34,1992,0
34,1993,0
34,1994,0
34,1995,0
34,1996,0
34,1997,0
34,1998,0
34,1999,0
34,2000,0
34,2001,0
34,2002,0
34,2003,0
34,2004,0
34,2005,0
34,2006,0
34,2007,0
34,2008,0
34,2009,0
34,2010,0
34,2011,7055
34,2012,18853
34,2013,18552
34,2014,19998
34,2015,112323
34,2016,120634
34,2017,120892
35,1991,84810967
35,1992,84357831
35,1993,87328427
35,1994,82971993
35,1995,79568801
35,1996,79897669
35,1997,80643173
35,1998,83573032
35,1999,85936929
35,2000,86736027
35,2001,87602151
35,2002,81359635
35,2003,76611462
35,2004,87940450
35,2005,81546888
35,2006,88031836
35,2007,85746783
35,2008,84594867
35,2009,72795199
35,2010,66538892
35,2011,66401692
35,2012,65467310
35,2013,68690509
35,2014,68363947
35,2015,66490613
35,2016,67292434
35,2017,65933409
36,1991,0
36,1992,0
36,1993,0
36,1994,0
36,1995,0
36,1996,0
36,1997,0
36,1998,0
36,1999,0
36,2000,0
36,2001,0
36,2002,0
36,2003,0
36,2004,0
36,2005,0
36,2006,0
36,2007,87185
36,2008,114437
36,2009,142654
36,2010,124161
36,2011,192093
36,2012,340506
36,2013,395036
36,2014,375781
36,2015,377148
36,2016,373534
36,2017,362389
37,1991,179839696
37,1992,167165685
37,1993,161849666
37,1994,144386419
37,1995,146589855
37,1996,123442560
37,1997,125035163
37,1998,125967257
37,1999,143240114
37,2000,129524241
37,2001,142647640
37,2002,147771191
37,2003,147831547
37,2004,146010344
37,2005,153392000
37,2006,132880812
37,2007,133695295
37,2008,135484298
37,2009,136893958
37,2010,128443887
37,2011,130732652
37,2012,136795328
37,2013,137778320
37,2014,139668312
37,2015,134250224
37,2016,127687553
37,2017,123124352
38,1991,14629166
38,1992,15218168
38,1993,16802664
38,1994,17437439
38,1995,17988985
38,1996,18172271
38,1997,17421759
38,1998,18149036
38,1999,19939102
38,2000,20376485
38,2001,22095585
38,2002,22648085
38,2003,23023397
38,2004,23175355
38,2005,24645238
38,2006,27293408
38,2007,28220132
38,2008,29672806
38,2009,29627244
38,2010,27895008
38,2011,26719518
38,2012,27240184
38,2013,26603229
38,2014,26391571
38,2015,25972313
38,2016,24512705
38,2017,22984194
39,1991,0
39,1992,0
39,1993,2651735
39,1994,2877022
39,1995,4395575
39,1996,4512323
39,1997,0
39,1998,4736026
39,1999,4773876
39,2000,5586462
39,2001,6110611
39,2002,6831313
39,2003,7595138
39,2004,7990825
39,2005,8474143
39,2006,9529056
39,2007,9717392
39,2008,9810228
39,2009,9576635
39,2010,9629993
39,2011,10283313
39,2012,10895833
39,2013,10650401
39,2014,10655021
39,2015,9764166
39,2016,8984286
39,2017,8631906
40,1991,0
40,1992,0
40,1993,0
40,1994,0
40,1995,0
40,1996,0
40,1997,0
40,1998,0
40,1999,0
40,2000,0
40,2001,0
40,2002,0
40,2003,0
40,2004,0
40,2005,0
40,2006,0
40,2007,0
40,2008,0
40,2009,0
40,2010,0
40,2011,0
40,2012,0
40,2013,0
40,2014,0
40,2015,5102855
40,2016,5407530
40,2017,3904345
41,1991,734880
41,1992,734880
41,1993,1253025
41,1994,1252196
41,1995,1320201
41,1996,1589400
41,1997,1643219
41,1998,2702287
41,1999,2730853
41,2000,2852055
41,2001,3189150
41,2002,3331561
41,2003,5023613
41,2004,6753953
41,2005,6755151
41,2006,7661957
41,2007,8085372
41,2008,8781522
41,2009,10860624
41,2010,11280326
41,2011,11938168
41,2012,13067786
41,2013,12792687
41,2014,13109776
41,2015,12852260
41,2016,12217194
41,2017,11976752
42,1991,76031138
42,1992,76934710
42,1993,73020991
42,1994,72837000
42,1995,73253000
42,1996,72295000
42,1997,79231000
42,1998,80301000
42,1999,83253891
42,2000,83118954
42,2001,81497127
42,2002,76805808
42,2003,70641397
42,2004,66761993
42,2005,71065818
42,2006,68830652
42,2007,69464584
42,2008,67519392
42,2009,72716409
42,2010,68008889
42,2011,63104604
42,2012,61596727
42,2013,59689757
42,2014,59777734
42,2015,62868806
42,2016,60779104
42,2017,57460309
43,1991,2279973
43,1992,2448701
43,1993,2479076
43,1994,2664070
43,1995,2762107
43,1996,2934993
43,1997,2482686
43,1998,2469975
43,1999,2247072
43,2000,2833034
43,2001,2819749
43,2002,5815944
43,2003,5758709
43,2004,11098238
43,2005,7500785
43,2006,9039276
43,2007,7995185
43,2008,8254786
43,2009,8518482
43,2010,8189049
43,2011,8211130
43,2012,7644506
43,2013,7252508
43,2014,6912423
43,2015,6500154
43,2016,5907608
43,2017,5738414
44,1991,101271370
44,1992,97262825
44,1993,97499476
44,1994,102946504
44,1995,109709003
44,1996,106714133
44,1997,109298856
44,1998,115964579
44,1999,113844154
44,2000,104154353
44,2001,112342545
44,2002,112201200
44,2003,122629115
44,2004,119261973
44,2005,138556849
44,2006,108707766
44,2007,101955904
44,2008,106039517
44,2009,104080206
44,2010,111252735
44,2011,112368259
44,2012,119746692
44,2013,117918409
44,2014,119615609
44,2015,133807610
44,2016,126462675
44,2017,118852933
45,1991,5996115
45,1992,6051293
45,1993,6393634
45,1994,6694515
45,1995,7058217
45,1996,6607267
45,1997,6650563
45,1998,6613523
45,1999,6801525
45,2000,7025275
45,2001,7174499
45,2002,6370686
45,2003,5903915
45,2004,5767937
45,2005,6298404
45,2006,6025675
45,2007,6236218
45,2008,6889504
45,2009,7399550
45,2010,6826819
45,2011,7124156
45,2012,7127842
45,2013,7486497
45,2014,7689990
45,2015,8052185
45,2016,8166529
45,2017,7890154
46,1991,80886653
46,1992,75762094
