id,year,upt
19,2004,474750702
19,2005,492254103
19,2006,494729137
19,2007,499544307
19,2008,526336459
19,2009,521241837
19,2010,516873050
19,2011,531968639
19,2012,545577917
19,2013,529230291
19,2014,514216813
19,2015,515964831
19,2016,497704252
19,2017,479435218
20,1991,30347839
20,1992,31362713
20,1993,30383958
20,1994,30747395
20,1995,64533972
20,1996,64554369
20,1997,66261349
20,1998,69953980
20,1999,70427812
20,2000,72342624
20,2001,72121795
20,2002,69609764
20,2003,67726987
20,2004,67677915
20,2005,68590955
20,2006,72064297
20,2007,74550584
20,2008,76937575
20,2009,71767204
20,2010,70534886
20,2011,72349785
20,2012,74246584
20,2013,73603166
20,2014,74382121
20,2015,72631172
20,2016,72289606
20,2017,70592215
21,1991,40148819
21,1992,39307572
21,1993,38231418
21,1994,36911647
21,1995,35573641
21,1996,35949805
21,1997,37796783
21,1998,39223374
21,1999,39556102
21,2000,38100167
21,2001,36427224
21,2002,34898859
21,2003,33758583
21,2004,34370765
21,2005,36879312
21,2006,38103095
21,2007,39213669
21,2008,40504883
21,2009,35126791
21,2010,35077978
21,2011,37069881
21,2012,39082089
21,2013,39822617
21,2014,38862770
21,2015,37288887
21,2016,35286101
21,2017,35485948
22,1991,4789338
22,1992,4953602
22,1993,5339545
22,1994,5688654
22,1995,4928804
22,1996,5738471
22,1997,6126727
22,1998,5916551
22,1999,6169327
22,2000,5788692
22,2001,5897851
22,2002,5292028
22,2003,5267398
22,2004,5473827
22,2005,5408138
22,2006,5313681
22,2007,5584233
22,2008,5468575
22,2009,5128816
22,2010,5083319
22,2011,4832505
22,2012,4845526
22,2013,4866284
22,2014,4943670
22,2015,4967406
22,2016,4817082
22,2017,5118251
23,1991,73415297
23,1992,72297244
23,1993,87503501
23,1994,81702856
23,1995,80839245
23,1996,79800435
23,1997,80192231
23,1998,79831510
23,1999,81483944
23,2000,84131473
23,2001,84005249
23,2002,81891426
23,2003,85082037
23,2004,98543451
23,2005,103232388
23,2006,107094084
23,2007,111263859
23,2008,114802110
23,2009,103504590
23,2010,97230319
23,2011,104619504
23,2012,107339867
23,2013,111442186
23,2014,110770975
23,2015,106257006
23,2016,98962300
23,2017,89465160
24,1991,19971381
24,1992,21071289
24,1993,22300257
24,1994,23490832
24,1995,23967275
24,1996,24222204
24,1997,26348837
24,1998,26655590
24,1999,27348128
24,2000,28469908
24,2001,32442539
24,2002,33953895
24,2003,37176625
24,2004,40327994
24,2005,41590395
24,2006,40637984
24,2007,42442268
24,2008,39665062
24,2009,37720691
24,2010,37354511
24,2011,36629336
