taname,msaid,year,upt,bus_upt,rail_upt,vrm,bus_vrm,rail_vrm,minimum_headways,avg_speed,bus_speed,rail_speed,operating_expenses_total,fare_revenue,avg_fare,bus_avg_fare,rail_avg_fare,farebox_recovery,bus_recovery,rail_recovery,miles_between_failures,state_gas_price_per_gal,trips_per_capita,upt_per_vrm,bus_vrm_per_ride,rail_vrm_per_ride,avg_trip_length_mi
SunTran,46060,2006,17814633.0,17386429.0,,9889292.0,6943590.0,,11.153897167167921,12.573270288722787,12.73868558502529,,52783324.0,8682244.0,0.6092073297271967,0.5964301237476655,,0.1644883903105458,0.2016705789752365,,8306.079100145138,3.325040178571429,33.4861522556391,1.801406308965293,2.50395386248324,,3.686320846463691
SunTran,46060,2007,18205425.0,17765650.0,,10104597.0,7049796.0,,10.879759924533698,12.639040620407142,12.727767737695684,,56068949.0,9206175.0,0.611876501097887,0.5984943680642137,,0.1641938214322512,0.2036053925670015,,9299.6873015873,3.4321408000000004,34.220723684210526,1.801697286888334,2.5200232744323383,,3.800864412668202
SunTran,46060,2008,18857804.0,18407317.0,,10671745.0,7560203.0,,9.216624605410724,12.761276397292708,12.74185790176224,,59468984.0,9804594.0,0.6083091636756857,0.5946921710535,,0.16486903492415475,0.20311989209366385,,10179.625928984311,3.8378835857142852,35.447,1.7670778302892358,2.4347649130585514,,3.7041878789280025
SunTran,46060,2009,22044269.0,21575374.0,,10969765.0,7707057.0,,11.596073375437042,12.96426537013357,13.002490143183232,,61968610.0,10769419.0,0.5715871199902341,0.5535913996206971,,0.173788293782933,0.207539885493898,,9980.97874015748,2.7713399999999995,40.52255330882353,2.0095479711734936,2.799430963077086,,3.8972878619835387
SunTran,46060,2010,20847575.0,20383630.0,,11208607.0,7950999.0,,13.055664478569987,13.194590840332673,13.390637499515808,,63815959.0,11646147.0,0.642428150516307,0.6233279572872937,,0.18249583932445487,0.2185263493762348,,9909.602583586626,3.2692134285714287,38.32274816176471,1.8599612779714731,2.5636564663132266,,3.868708231053252
SunTran,46060,2011,20186845.0,19702472.0,,11318394.0,7985511.0,,16.967514952083434,12.752660185773584,12.7068182794621,,66900877.0,11120101.0,0.6169618442109206,0.6009591730418397,,0.16621756692367426,0.19835798702546806,,9435.630057803468,3.9224992,37.10817095588235,1.783543230603211,2.4672775480492106,,3.6914997861230914
SunTran,46060,2012,20464273.0,19943953.0,,11482024.0,7995596.0,,16.99037173237053,12.713082644829411,12.625987540760978,,70062340.0,13949206.0,0.7429843483812008,0.7232097087272519,,0.199097061274288,0.2363396273155034,,11391.913748932537,4.007922214285715,24.27069457095146,1.7822879485359027,2.4943672741844387,,4.1378187732347005
SunTran,46060,2013,20873221.0,20328265.0,,11666215.0,8054034.0,,16.5101446290058,12.691497636570334,12.486816340389115,,70923667.0,13459155.0,0.6963892827082127,0.6752219355660702,,0.1897695870688694,0.22611133461491062,,10660.811912225705,3.816796371428572,38.36989154411765,1.7892024962680697,2.523985495963886,,3.953447290190623
SunTran,46060,2014,20272980.0,19713449.0,,11917352.0,8217547.0,,16.45830836652642,12.653601822013878,12.427668133629751,,74107836.0,12709371.0,0.6645265402520991,0.6434374999524437,,0.17149834195671293,0.2034997624184346,,11535.8768718802,3.6249774,37.266507352941176,1.7011312580177207,2.3989456951082846,,4.149779953415828
SunTran,46060,2015,21289419.0,19657931.0,1078136.0,12057793.0,8189813.0,179050.0,16.44093479799413,12.522503089657178,12.308659843395404,7.915211529110119,77892773.0,13823566.0,0.6882752394511095,0.6563414379672001,0.8883616352667939,0.17746917291030326,0.2088551747828721,0.2352151181436884,15827.702247191011,2.977109942857143,33.44768648497484,1.765614901499802,2.400290580505318,6.021424183189053,4.317784059771664
SunTran,46060,2016,17271308.0,15743501.0,950034.0,11401143.0,7399193.0,193860.0,16.159440311003408,12.551265679252635,12.266831015920436,7.800579430226944,75617106.0,10891612.0,0.6621497688536386,0.6157336065211926,0.9595507108166655,0.14403635071672805,0.1631636206176607,0.22037551327906924,13865.859081419625,2.5662937500000003,27.13485488586785,1.5148751313793714,2.127732172954537,4.900619003404518,4.944533442400541
SunTran,46060,2017,17858491.0,16388315.0,900539.0,12191608.0,8233238.0,192306.0,15.94618593379971,12.325238232921333,12.047800568057935,7.773080032336297,76560951.0,12235157.0,0.69881940976984,0.663169804827403,0.6800018877583314,0.15980936548188907,0.1868215628071263,0.1380851606540289,14664.858031088082,,28.057374795561344,1.4648183406159385,1.9905066512106173,4.68284400902728,4.732837841674305
SunTran,46060,2018,16662548.0,15205419.0,899854.0,12378754.0,8458300.0,201796.0,16.006199631585353,12.169391783752324,11.95619139970683,7.806119685892228,81160212.0,12537834.0,0.7524559869234886,0.7197341289970371,0.5471887661776244,0.15448251909445482,0.17854982683592463,0.12036309129202771,12195.638605442176,,23.0995012047057,1.3460601931341394,1.7976920894269535,4.459226149180361,4.792284349308401
Tucson Other,46060,2006,,,,,,,,,,,,,,,,,,,,3.325040178571429,,,,,
Tucson Other,46060,2007,,,,,,,,,,,,,,,,,,,,3.4321408000000004,,,,,
Tucson Other,46060,2008,,,,,,,,,,,,,,,,,,,,3.8378835857142852,,,,,
Tucson Other,46060,2009,,,,,,,,,,,,,,,,,,,,2.7713399999999995,,,,,
Tucson Other,46060,2010,26017.0,,,153052.0,,,,,,,85995.0,28033.0,,,,,,,,3.2692134285714287,0.030835109144221128,,,,
Tucson Other,46060,2011,40995.0,,,258249.0,,,,,,,659136.0,97505.0,,,,,,,75268.5,3.9224992,0.04858689700454876,,,,
Tucson Other,46060,2012,70145.0,,,524854.0,,,,,,,959598.0,187665.0,,,,,,,361644.0,4.007922214285715,0.0831921989449315,,,,
Tucson Other,46060,2013,32442.0,,,284595.0,,,,,,,1195733.0,264371.0,,,,,,,,3.816796371428572,0.03844996005906991,,,,
Tucson Other,46060,2014,39196.0,,,364437.0,,,,,,,1339681.0,279689.0,,,,,,,,3.6249774,0.0464547387483911,,,,
Tucson Other,46060,2015,39102.0,,,392071.0,,,,,,,1376485.0,624057.0,,,,,,,,2.977109942857143,0.04634333081282756,,,,
Tucson Other,46060,2016,121268.0,,,1134619.0,,,,,,,1680545.0,710192.0,,,,,,,,2.5662937500000003,0.14372571840340576,,,,
Tucson Other,46060,2017,120540.0,,,1136503.0,,,,,,,1799089.0,589403.0,,,,,,,,,0.14286289949819023,,,,
Tucson Other,46060,2018,104499.0,,,903988.0,,,,,,,1683369.0,431669.0,,,,,,,,,0.12385125381335141,,,,
Honolulu DTS,46520,2006,71168263.0,70384355.0,,22341037.0,18019030.0,,6.951690992183665,13.584241187526183,13.404812155144132,,160044225.0,43043051.0,0.7560085279866955,0.7375828939542033,,0.2689447307455174,0.3010930961415642,,,3.8542797619047624,81.22784412821461,3.1855398207343733,3.9061123157017885,,4.6105491713349815
Honolulu DTS,46520,2007,72557307.0,71749456.0,,22532013.0,17923724.0,,6.761488058058968,13.435376425256967,13.232088530266173,,167679915.0,43343304.0,0.7228134561278576,0.7039530156158954,,0.2584883466812349,0.29217549807060944,,,3.8007552,79.74531000821003,3.220187517200527,4.003044010273758,,4.486401280025456
Honolulu DTS,46520,2008,70641895.0,69759895.0,,23153590.0,18272697.0,,6.67242876940292,13.509221604401631,13.283814385548878,,186837060.0,43631508.0,0.7226429070171462,0.7041500627258686,,0.23352705293050532,0.27203901777843,,8845.353545075393,4.3706336142857145,77.64014472508498,3.0510126075481168,3.8177120213835978,,4.410956571875655
Honolulu DTS,46520,2009,78244128.0,77329670.0,,23525320.0,18462001.0,,6.56487826783824,13.458320962143874,13.198258390458822,,201082046.0,44148263.0,0.6601577527964781,0.6423441340173829,,0.21955348017495308,0.2571795040230205,,7181.7839793281655,3.3878519999999996,85.99550481775827,3.325953823369884,4.188585516813697,,5.320157839831763
Honolulu DTS,46520,2010,74041211.0,73158620.0,,23653505.0,18343673.0,,6.221477973686697,13.480215514711205,13.196336411861951,,195122363.0,47568509.0,0.7388288847679706,0.7211162608042634,,0.24378809414070082,0.2815464269838197,,8864.234677675453,4.063955428571428,81.37621927696807,3.1302426849636027,3.9882208977449607,,5.349751302690065
Honolulu DTS,46520,2011,74706100.0,73765232.0,,23839001.0,18356893.0,,6.299007844653066,13.575362077026325,13.304246265882096,,205438565.0,53564677.0,0.8030460463067942,0.7853023267113157,,0.2607333097366602,0.30199543490403463,,10780.560122935074,4.8779616,78.37342780739127,3.133776453132411,4.018394180322345,,5.533568543934163
Honolulu DTS,46520,2012,77276485.0,76296597.0,,24051828.0,18225457.0,,6.192080569808612,13.551402111378989,13.250907364484242,,215017384.0,56649622.0,0.7990540457423757,0.782520700628365,,0.26346531125129863,0.30621904343228096,,12429.466228070176,4.9844228500000005,96.29960533809204,3.2129152511817396,4.186265233294288,,5.542992489888742
